,CD8_T,CD4_T,B_cells,NK_cells,Macrophage,Dendritic,Treg,Exhaustion,IFN_gamma
TCGA-BH-A18H,2.2297088036420445,1.4127629103032924,0.697053303046827,0.6992312197381213,-0.40691874897274233,0.07513332310830327,1.045863570507074,1.2911749833757653,1.0682710954203871
TCGA-E2-A14P,0.12434619270220332,0.17852989414128004,0.1952614011891883,-0.13774583945627328,-0.5889473222584672,-0.5374978541404692,0.25709299971057975,0.052642574264512576,0.09144510326739728
TCGA-AN-A04A,-0.4440684595110301,-0.4385135809546025,-0.3888964670406025,-0.5634243635649301,-0.41463415608352144,-0.5302399083592041,-0.4627997379005865,-0.4960829362826141,-0.5392041427813556
TCGA-5L-AAT1,1.8304065483758802,0.9222084748750019,0.6924813328388305,1.5539034997213659,0.2920600522883494,1.2778071453180377,1.0438481767734298,1.4981764615871154,2.0365113217380615
TCGA-AQ-A0Y5,-0.5589636027769151,-0.3887471502575566,-0.2882771785198878,-0.6619488464768667,0.05146373688294687,-0.3045195663271248,-0.38180176705387864,-0.41546140548915006,-0.4631948300348109
TCGA-A8-A07I,-0.11020939812776624,0.25689989835388843,-0.07794093794428064,-0.29838056406358326,0.5483671906529212,-0.34442118596907717,0.46894861390832415,0.40180820952648705,0.5735509411261223
TCGA-E9-A1R4,0.45679838259227523,1.3944743661322885,0.23103750460516115,0.38744172996519294,0.9069945531235389,-0.2766912050226929,1.102579445476621,1.0245409185031462,1.6563413595733851
TCGA-AC-A8OP,-0.33674437684614095,-0.22738970693591923,0.09070949662460635,-0.3083901408854101,-0.4155315165040538,0.3381150430713178,0.09211674177974709,-0.3076403836923585,-0.3856300166149401
TCGA-AR-A24Q,0.3658967109880795,0.13274955767955543,-0.08215483910050671,0.0428093163362064,-0.16260633066761188,-0.1087318769349742,-0.023100404896337755,1.8364576805569375,0.14798551906213592
TCGA-D8-A1XU,-0.4810125904863689,-0.46564752332941683,-0.3843647112751172,-0.5578800444508752,-0.3412568061370284,-0.3713329654609286,-0.4549345108060339,-0.2505554856092943,-0.12428809570052089
TCGA-AO-A03N,-0.5846915381377773,-0.7964153133223899,-0.4908099623444104,-0.7274211713159161,-0.8201608967777995,-0.8234790638978994,-0.4505750666112623,-0.5282066380335716,-0.6920137982710913
TCGA-A1-A0SN,0.3773329682589462,0.9741158936632676,-0.29796385331313097,0.07353650095559555,-0.2760559834089135,0.07814882485341644,0.6804157970192739,0.2216318153911533,0.33109595161999433
TCGA-D8-A1JP,-0.0801875314836879,-0.1378998695766902,0.06345285875492825,-0.3857842277724463,0.12952343049844486,0.25913475472397485,-0.10914284826629599,0.1330657480851832,-0.04266313372536369
TCGA-D8-A1XL,1.429743114929806,0.6515754246876408,0.8775405759105276,0.6090945806767998,0.019487908688363476,0.5708296197055196,0.7107388507094436,1.5315774370916728,1.7789930373739662
TCGA-B6-A1KI,-0.5671359495043898,-0.8021557896197063,-0.4517695071879386,-0.717642950284175,-0.7519862925902885,-0.5037164956457466,-0.3644274495175802,-0.6753848223978282,-0.5701389758563671
TCGA-B6-A0IP,-0.31187416360766995,-0.30371036733634843,1.228270640975926,-0.4672703722389855,-0.6362505394103047,-0.12122144499627514,-0.014821606925703761,-0.36319860463503734,-0.21273982128367758
TCGA-B6-A0IM,-0.4951308209143387,-0.5574539362148564,-0.35370107424632263,-0.709484434064752,-0.49162999513785,-0.6228847131097011,0.1332634770939812,-0.4449239316646419,-0.3145033754039525
TCGA-A1-A0SB,-0.5600787554752027,-0.7499811653567386,-0.4002579856331454,-0.5360709587155063,-0.44674354211999406,-0.6219562872915229,-0.48623173288051547,-0.46756730912975186,-0.6757959755034605
TCGA-A8-A08B,0.07030935957503862,-0.15764925046800995,0.11729509767115189,0.24960586967695206,-0.6450937326112068,-0.23221843421648591,0.047003485835676304,0.2126351684321778,0.5212258965876984
TCGA-AN-A0FD,0.09304618907349825,-0.4488546842527843,-0.40245914875824346,-0.27018563993856387,-0.6481787862138625,-0.651470981203934,-0.29255838694143177,-0.08237036171160098,0.3895375044531339
TCGA-3C-AALJ,0.26558250058860344,0.5658712086022039,-0.20431912546704345,0.04033940214726405,-0.3601953869449572,-0.31769504286452865,0.2794915170168234,0.13820905973285474,0.015740111258673268
TCGA-AC-A4ZE,-0.19788562278320365,-0.45158644190378766,-0.11448623983440753,-0.5866222969394647,-0.34214755867149144,-0.5655434677958303,-0.3927976107147199,-0.2806150297872887,-0.4310552608611773
TCGA-AO-A124,0.3798227933928072,-0.35911793456596836,-0.14877534328168496,-0.31753450308111536,-0.5564624944040844,-0.663934246332499,-0.15990744939983553,-0.22072942582481592,-0.2749744378981377
TCGA-AR-A24M,-0.549115467127867,-0.5901745529535823,-0.09853721756982936,-0.5782356871047835,-0.23495464781706085,-0.26683079260086356,0.4380240086774765,-0.3585129982120614,-0.33464736000239054
TCGA-E9-A22A,0.7548271537812681,0.7280372423076976,-0.18301964168215026,0.09123372921048194,-0.15025188396017466,-0.24342785578087248,0.6879393916279835,0.4010150676364039,0.8777856488210808
TCGA-BH-A0BZ,1.9543123650725276,1.1745606261547332,-0.07567292589520315,1.2947264941711114,0.03708693708341374,-0.2933287689039279,0.835166241458095,1.286202318524059,2.37197024156575
TCGA-A8-A07F,-0.08119882108696945,0.0696405763747422,0.20182459825779953,-0.052551523214619665,-0.04629816736925624,-0.4463032465680877,0.15425072361305311,-0.0005388050505405369,0.18124652144881168
TCGA-B6-A0WT,-0.45575998258992895,-0.32146312856347514,-0.22950177796496382,-0.7391124995793281,0.03404522798424609,-0.645637853954709,0.3752812602690567,-0.23814472606079493,-0.28900535207849215
TCGA-C8-A12Y,-0.3345947012380337,-0.5639147112667473,-0.2814814407898157,-0.5528582545392385,-0.6625365660214917,-0.45989147300986116,-0.3218823139647754,-0.20939622819352377,-0.1327833640376204
TCGA-AN-A0FF,-0.19255990058291356,0.08019400107809381,0.0331869374061888,-0.2714236802367383,0.35694122065367145,-0.385817467213021,0.07585390716335573,0.01791375055019696,-0.04682253126294833
TCGA-BH-A1F5,-0.5813572199746485,-0.7189644141981869,-0.1557509347558558,-0.6184851221051663,-0.5079666777241785,-0.5127992947451273,-0.4385661606452892,-0.5812326524228346,-0.48190651006446444
TCGA-D8-A1Y2,0.5994550979210622,0.9027003428115804,0.11637353181279618,0.7255310245074034,2.832051071552662,-0.07801725992161589,0.1580255217552894,0.9554165699738202,0.285648922124281
TCGA-BH-A0B6,3.9993340026952007,1.6270752617198416,2.9239629581280977,4.0010498115783415,-0.07275747768547905,1.7424114255152237,0.9417560501302787,2.3786917600722823,3.8753690534616325
TCGA-A8-A093,-0.6021030925555763,-0.7237226078930251,-0.3034834661201643,-0.7567590044827456,-0.4521677320260901,-0.7028906216990395,-0.3433044376940991,-0.5685397923989909,-0.44505399001008067
TCGA-E2-A1B1,0.9477369562022547,1.544733005944727,0.05300605836520217,0.7955778772834691,0.404419237909309,1.000619906425218,0.959155207786878,0.8731753541611972,1.6533738200071884
TCGA-AR-A255,0.24844966110311584,0.5274516756610995,-0.06381667840298043,-0.05834925354522289,0.5192507368120926,0.2704492423058178,0.6736270777646494,0.6099324206501834,0.6332270545456739
TCGA-B6-A0WX,-0.06315447400453209,0.07798915930723747,0.35274321462809666,-0.33828251100404855,0.19305287355658693,-0.1601499916073911,0.1291306076956303,0.19424682706332996,-0.17252763754803926
TCGA-EW-A1J2,0.023321713563469584,0.20223940755592842,0.011271029763429316,-0.014692998552873537,0.25016744463624835,0.27954534058901775,0.1378546564302322,0.2943044089506565,0.08009449666673298
TCGA-A1-A0SP,-0.028804895127438113,0.37805819889962433,-0.1652815729290901,-0.21137992408959064,0.9484089687887282,0.3882965369732749,0.4020897992703487,0.11464659477866539,0.15400484618986585
TCGA-BH-A1F8,-0.33946457732764307,-0.6260244822306151,-0.2896007440450323,-0.4807286493942193,-0.5517561345305247,-0.7154792614248615,-0.5342101605240805,-0.33358463404788224,0.049240926876426706
TCGA-AC-A3HN,0.1571070511098889,0.22977978157404033,0.6990679830480918,0.02398634058277654,0.5443133453105528,0.0948759422162488,0.16276767128361264,0.2651323646209239,0.2800084527953376
TCGA-B6-A0RT,7.305316403377128,5.778141333497241,3.6563714855992067,6.287486646858306,0.18147945831751297,2.3519546922393206,3.7665229496454478,5.578536184934989,4.731626555351281
TCGA-A8-A08P,1.3372729640034489,1.2698336879085819,-0.11431006858987007,0.36777831338259165,0.8126269503697735,-0.01948102251707599,2.042378907821793,1.2074794312377735,1.9424572087788827
TCGA-BH-A0HN,-0.6061928981002909,-0.7208031997484428,-0.4385983916764604,-0.7958344723322206,-0.4690613329254056,-0.26787526743422396,0.4130318874364004,-0.569557842824925,-0.5449385149099605
TCGA-BH-A0H0,-0.4219382326498039,-0.47470991398375234,-0.4775739729632049,-0.6700240194716969,-0.4942332985001526,-0.7412267411138226,0.8250159493177047,-0.4826269698464351,-0.3802973375478481
TCGA-BH-A18T,-0.12773687036290812,-0.22127521146925866,-0.18458936240185075,-0.5402623970419466,0.14030568192633963,-0.7558392530618886,0.0633438130164209,-0.09341016394082864,-0.26101295624308885
TCGA-BH-A0H9,-0.41793931333800155,-0.5146719515241666,-0.4206560644822715,-0.5844186736086439,-0.6408240816178342,-0.3989412321384858,-0.47126617882614574,-0.4927723914814357,-0.5270504006523006
TCGA-E2-A14S,-0.2678373871563142,-0.32577052733798784,-0.023375527675933355,-0.554201860622751,0.33783399183291224,-0.571654243810166,-0.3108221582657168,-0.07549996548763341,-0.175952186010766
TCGA-A7-A26G,0.05822210544253017,0.7435230287366813,0.09746872430485291,-0.2952730343242313,0.19530260178672254,0.13255103929985634,0.7837183192872043,0.4199725591144597,0.22780725918874672
TCGA-W8-A86G,-0.5376129378711509,-0.7166254359466594,-0.18696320884097914,-0.5122170961394517,-0.5552146810641183,-0.3936853402221499,-0.3044280828148045,-0.5258821770219494,-0.5132971738688075
TCGA-B6-A0IH,0.4615901813575725,-0.2184310587814753,0.4381420045022699,0.2402583425939647,-0.3212620793643593,0.9367651293108974,-0.07608681516515192,-0.11414749575870503,0.12070886117875193
TCGA-E2-A574,-0.3747754302658481,-0.8794641333080763,-0.5405592338653152,-0.8390348549676875,-0.8305789274676892,-0.4526469745298227,-0.656616733079915,-0.626453122411884,-0.21913708820925074
TCGA-A1-A0SG,-0.40098877646160674,-0.19585796979726988,1.2927512264645864,-0.38612631498918093,-0.503899560038421,-0.11996726705625715,-0.3460695637460821,-0.34462349288007266,-0.422239303306864
TCGA-AO-A0J9,-0.14379643436910816,-0.1415840872378762,-0.3542494157884917,-0.08432058984381115,-0.4638993984655418,-0.46580434516006636,-0.20787521895291014,-0.031259314791546394,-0.37151514307557776
TCGA-A2-A3KD,-0.390224056931974,-0.21905628785451145,-0.31881408510576165,-0.5404693171167945,-0.04546886875497106,-0.0831190141481385,-0.18912890879389294,-0.4937806509721567,-0.45363052507478807
TCGA-C8-A1HK,-0.17887772590853837,-0.29311427665892525,-0.17774382302595337,-0.40628002370431143,-0.5149113153136855,-0.6691851050369199,-0.08640108395742711,-0.25674889556063996,-0.11942123296608251
TCGA-EW-A1P8,-0.293061846245203,0.5828165233893791,-0.33496034622377224,-0.5281011683844583,0.9257322131446174,0.07439037674727551,0.3537887572685989,0.29835756978166045,-0.06387585932026965
TCGA-BH-A0B4,-0.22311781478461817,-0.36881821579568586,-0.28284831580994163,-0.19122739885285944,-0.5553833362941271,-0.43357713291426464,-0.21772248513366838,-0.28875422956412994,-0.2534122634690729
TCGA-AO-A03M,1.2286550647800807,1.2493523406578617,0.21672034166687856,0.752332068727239,0.3312457793944102,0.4352314125154158,1.1426672750822697,1.1575166004684612,1.7469495531177093
TCGA-EW-A424,-0.574586167300271,-0.8015767733529201,0.2316000664020186,-0.6895334394334004,-0.3828849510016636,-0.587974924674665,-0.5128756167266693,-0.499144248098236,-0.5718341400472369
TCGA-BH-A0BL,1.7329170987333458,1.293967397125683,0.6546474126182377,1.218626789320613,0.32851024258273176,1.7551426085103656,1.4116665624172084,1.1068430877136426,2.537187951934073
TCGA-BH-A0GZ,-0.4906872347552075,-0.679489720270424,-0.36512043923824233,-0.609343555377981,-0.7673445113998242,-0.662256408394591,-0.2326733280160692,-0.5893010156380328,-0.5867401959641693
TCGA-C8-A12Q,-0.25187018515880377,-0.06351728345466749,-0.16184467568832214,-0.4678925581300805,0.11290617107897354,-0.17924851281919443,0.08674471119768111,-0.07146375804225878,-0.17823974886197394
TCGA-D8-A27I,0.09984487319548746,0.6031260637189026,0.20533484156515136,0.2288139871254472,0.1983018624963007,1.9269392600967112,-0.1185689134803904,0.09836808755052083,-0.03303775606112247
TCGA-EW-A6S9,-0.4767029185603586,-0.39393457280668137,-0.18020743336804235,-0.7044331252342446,-0.1686058957604851,-0.2597145192333599,-0.1422016480750214,-0.27846781676579163,-0.17552895190078635
TCGA-AR-A24H,0.09073197304288029,0.2796349321202882,-0.10645632162732067,-0.19947705557781506,0.06513597341927968,-0.5521369930326454,0.3792862328992329,0.5076836686289499,0.47762580372577573
TCGA-XX-A89A,0.08582613092232075,1.4717848011905443,0.05791605932554239,-0.06867572293635825,0.9945802429433653,-0.08787141352295291,1.0586883200148463,0.4883947321748507,0.2549113513750379
TCGA-E9-A5UO,-0.608297791542479,-0.7709687893034557,-0.46703138385859266,-0.738828451639772,-0.7590166931847447,-0.7852983056287816,-0.678692412173684,-0.6973008423458027,-0.6014860861054793
TCGA-BH-A18G,-0.3366471467065706,-0.22799298742230958,-0.523150723397803,-0.20845305147625592,-0.7143293129477538,-0.7745552315270637,-0.2935318274728265,-0.4880916672954663,-0.3705714291020709
TCGA-E2-A1LB,-0.5774574649540052,-0.5169401376400586,-0.10787937914103642,-0.7247378735031159,-0.46054564755134203,-0.34332935832431205,-0.32879745395302346,-0.5070398184757262,-0.5652632224863801
TCGA-B6-A0IC,-0.6331068058559652,-0.7248675530771639,-0.1713343520582206,-0.7985951646993277,-0.6086739495185006,-0.841504748353901,-0.4967540380790325,-0.6393126063295824,-0.524767430042447
TCGA-E2-A15S,-0.5520752894896381,-0.7689683486759137,-0.3428687727818545,-0.6524714235857605,-0.7108446462634738,-0.7919401487928349,-0.24583737401430739,-0.6199240255731263,-0.6787357613639727
TCGA-GM-A3XG,-0.5484694382558585,-0.6514898552376137,-0.08979821500170293,-0.596300410450024,-0.4801077598757177,-0.12193336561053687,-0.4928573300101561,-0.5497735178225791,-0.6360796512489383
TCGA-AR-A24S,-0.17458288251030762,0.8746889983662635,0.0007983358863801934,0.03854790556626244,2.5349312822294494,0.2951926357609563,0.3548068046014947,0.9398927869400313,0.26514339618176114
TCGA-Z7-A8R5,0.18962331678858751,-0.35499135090922335,0.938781457798778,0.7358283526717666,-0.3933475777366963,0.8712076861721666,-0.399920272210481,-0.12367386383389316,-0.2842635672425685
